Protein.Group	Protein.Names	Genes	CC mapped	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-01.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-02.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-03.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-04.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-05.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-06.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-07.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-08.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-09.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-10.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-11.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-12.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-13.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-14.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-15.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-16.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-17.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-18.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-19.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-20.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-21.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-22.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-23.raw	Z:\ms-data\mrc-astral\2026\07_July\20260701\20260701-RN-KB_SHSY_11J_-24.raw
Q01085	TIAR_HUMAN	TIAL1		Nucleolysin TIAR	1	1	834882		1.11E+06	1.30E+06	1.61E+06	1.45E+06	1.79E+06	949406	835146	1.02E+06	891442	764889	1.18E+06	1.14E+06	1.17E+06	852756	598594	1.57E+06	2.29E+06	1.33E+06	2.47E+06	2.09E+06	1.95E+06	1.87E+06
P15923-2	TFE2_HUMAN	TCF3	TCF3	Isoform E47 of Transcription factor E2-alpha	15	15	1.92E+07	1.55E+07	1.37E+07	1.70E+07	1.46E+07	1.65E+07	1.68E+07	1.32E+07	1.30E+07	1.81E+07	1.79E+07	1.43E+07	1.14E+07	1.18E+07	1.29E+07	1.30E+07	1.31E+07	1.64E+07	1.25E+07	9.86E+06	1.40E+07	1.12E+07	1.28E+07	1.40E+07
Q15198	PGFRL_HUMAN	PDGFRL		Platelet-derived growth factor receptor-like protein	2	2																14722.2			13827.1				24125.3	
Q8IWQ3	BRSK2_HUMAN	BRSK2	BRSK2	Serine/threonine-protein kinase BRSK2	24	24	9.63E+06	1.18E+07	9.20E+06	9.99E+06	1.04E+07	1.02E+07	1.16E+07	9.45E+06	9.06E+06	9.53E+06	9.77E+06	8.22E+06	7.94E+06	6.96E+06	9.06E+06	7.84E+06	8.31E+06	9.09E+06	1.00E+07	8.06E+06	9.60E+06	9.61E+06	9.26E+06	1.04E+07
Q92615	LAR4B_HUMAN	LARP4B		La-related protein 4B	26	25	7.62E+06	6.92E+06	7.38E+06	8.00E+06	7.57E+06	8.37E+06	8.36E+06	7.40E+06	7.28E+06	8.03E+06	7.90E+06	7.61E+06	9.48E+06	8.15E+06	9.94E+06	9.98E+06	8.46E+06	1.10E+07	1.18E+07	1.01E+07	1.24E+07	1.10E+07	1.15E+07	1.20E+07
Q8NDI1	EHBP1_HUMAN	EHBP1	EHBP1	EH domain-binding protein 1	39	39	1.58E+07	1.55E+07	1.45E+07	1.63E+07	1.60E+07	1.57E+07	1.65E+07	1.41E+07	1.39E+07	1.56E+07	1.54E+07	1.48E+07	1.58E+07	1.29E+07	1.51E+07	1.61E+07	1.47E+07	1.61E+07	1.83E+07	1.56E+07	1.90E+07	1.77E+07	1.81E+07	2.02E+07
P52630;P52630-4	STAT2_HUMAN	STAT2	STAT2	Signal transducer and activator of transcription 2	32	32	1.19E+07	1.05E+07	1.13E+07	1.20E+07	1.22E+07	1.14E+07	9.29E+06	7.91E+06	8.55E+06	9.62E+06	9.38E+06	8.44E+06	1.14E+07	9.66E+06	1.21E+07	1.20E+07	1.05E+07	1.33E+07	1.01E+07	8.21E+06	1.09E+07	9.34E+06	1.03E+07	1.05E+07
Q6PJF5-2	RHDF2_HUMAN	RHBDF2		Isoform 2 of Inactive rhomboid protein 2	7	7	769813	580715	660558	809211	621634			687902				570945	895242	679918	813511	742426	717836	1.00E+06	764681	599730	817382	844085	808671	876373
P36383	CXG1_HUMAN	GJC1		Gap junction gamma-1 protein	3	3	194090	179168	158364	161292	156067	146456	170883	107107	164256	156872	217385	219834	228799	272671	318099	179658	145749	289641	263465	250912	271890	290984	309754	293172
Q92611	EDEM1_HUMAN	EDEM1		ER degradation-enhancing alpha-mannosidase-like protein 1	3	3				124089								166287			178685		82396.7		200516		98558.2	280885		127379
